date,views,likes,comments
2020-05-02,107312,2600,154
2020-05-01,67797,1800,260
2020-04-29,722015,29000,3015
2020-04-29,53307,1400,120
2020-04-27,56029,1500,173
2020-04-25,92667,2800,275
2020-04-23,201623,6600,275
2020-04-22,107446,4500,184
2020-04-22,85998,1800,136
2020-04-22,89859,3400,274
2020-04-21,157537,2300,401
2020-04-21,13505,322,18
2020-04-20,86329,2400,463
2020-04-19,52937,897,34
2020-04-18,86524,2400,239
2020-04-18,534491,21000,1270
2020-04-17,62303,1600,109
2020-04-16,85020,2200,643
2020-04-15,100245,2800,135
2020-04-15,17671,483,22
2020-04-15,51240,1000,80
2020-04-14,43272,689,73
2020-04-14,1194652,37000,1979
2020-04-14,59048,1600,191
2020-04-13,618481,7900,1344
2020-04-10,29451,648,29
2020-04-10,72175,1100,148
2020-04-09,50576,772,82
2020-04-09,1749527,28000,3124
2020-04-08,55343,867,157
2020-04-07,70974,2100,158
2020-04-07,96457,2400,193
2020-04-06,75236,2200,112
2020-04-05,258535,5300,336
2020-04-03,133793,2900,197
2020-04-03,106092,5700,653
2020-04-02,53019,789,156
2020-04-01,47193,1300,154
2020-04-01,34650,829,73
2020-03-31,63263,1000,122
2020-03-31,101012,3600,252
2020-03-30,62167,1000,42
2020-03-28,150518,2000,296
2020-03-28,35302,1000,179
2020-03-27,141054,3000,2242
2020-03-27,36167,1000,41
2020-03-27,22433,575,28
2020-03-26,75067,1500,451
2020-03-25,4858191,73000,17294
2020-03-25,137082,2300,125
2020-03-25,73732,1800,81
2020-03-24,45416,823,34
2020-03-24,94698,2500,184
2020-03-20,102444,2400,137
2020-03-19,72558,2000,147
2020-03-19,123620,2600,123
2020-03-19,79381,2100,161
2020-03-17,271894,3300,328
2020-03-13,93542,2100,108
2020-03-11,124882,3100,248
2020-03-10,98689,7200,617
2020-03-10,758769,30000,1279
2020-03-09,48987,698,85
2020-03-06,138054,2900,155
2020-03-06,489712,7700,637
2020-03-05,50881,1000,114
2020-03-04,77213,2100,136
2020-03-03,39705,991,121
2020-02-29,147630,5800,298
2020-02-29,74451,2400,162
2020-02-28,86819,2900,234
2020-02-27,54574,1100,90
